category			species	species	healthy	healthy	age	age	age	age	age	age	age	age	age	age	sex	sex	weight	weight	weight	weight	weight	weight	weight	weight	weight	weight	smoking	smoking	abstinence	abstinence	abstinence	abstinence	abstinence	medication	medication	overnight fast	overnight fast	overnight fast	overnight fast	oral contraceptives	oral contraceptives	ethnicity	ethnicity	bmi	bmi	bmi	bmi	bmi	bmi	bmi	bmi	bmi	disease	disease	fasted	fasted	fasted	fasted	fasted	alcohol abstinence	alcohol abstinence	alcohol abstinence	alcohol abstinence	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	glucose	glucose	glucose	glucose	glucose	glucose	glucose	glucose	height	height	height	height	height	height	height	height	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	HbA1c	HbA1c	HbA1c	HbA1c	HbA1c	HbA1c	HbA1c	phenotype	phenotype	disease duration	disease duration	disease duration	disease duration	disease duration	disease duration	insulin	insulin	insulin	insulin	insulin	insulin	blood pressure	blood pressure	blood pressure	genetics	genetics	caffeine	caffeine	obesity index	obesity index	obesity index	obesity index	obesity index	obesity index	muscle weight	muscle weight	muscle weight	muscle weight	muscle weight	muscle weight	body surface area	body surface area	body surface area	body surface area	body surface area	body surface area	glucagon	glucagon	glucagon	glucagon	glucagon	glucagon	percent fat	percent fat	percent fat	percent fat	percent fat	percent fat	lean body mass	lean body mass	lean body mass	lean body mass	lean body mass	lean body mass	smoking duration (years)	smoking duration (years)	smoking duration (years)	smoking duration (years)	alcohol	alcohol	metabolic ratio	metabolic ratio	metabolic ratio	metabolic ratio	metabolic ratio	medication type	medication type	smoking amount (packyears)	smoking amount (packyears)	smoking amount (packyears)	caffeine amount (beverages)	caffeine amount (beverages)	caffeine amount (beverages)
Basu2009	574	control	homo sapiens	25	Y	11	11	0.07		53.40			4.00	1.21	yr				11	0.07		82.00			6.00	1.81	kg											Y	25							11	0.07		29.00			2.00	0.60	kg/m^2																																																																																																11	0.08	38.00	3.00	0.90	kg/m^2	11	0.11	47.00	5.00	1.51	kg																			
Basu2009	575	t2dm	homo sapiens	25	N	14	14	0.05		57.30			3.00	0.80	yr				14	0.06		90.00			5.00	1.34	kg											Y	25							14	0.06		31.20			2.00	0.53	kg/m^2	diabetes melitus type 2	14																																																			14	0.18	6.50	1.20	0.32	yr																																						14	0.08	37.00	3.00	0.80	kg/m^2	14	0.06	54.00	3.00	0.80	kg																			
Begas2007	475	all	homo sapiens	44	Y	44																									methylxanthine	44	30.00	h		N	44					N	44																																																																																																																																									
Begas2007	476	men	homo sapiens	44	Y	44	21		63.00	31.30		19.00			yr		M	21													methylxanthine	44	30.00	h		N	44					N	44																																																																																																																																									
Begas2007	477	nonsmokers	homo sapiens	44	Y	44																							N	21	methylxanthine	44	30.00	h		N	44					N	44																																																																																																																																									
Begas2007	478	smokers	homo sapiens	44	Y	44																							Y	23	methylxanthine	44	30.00	h		N	44					N	44																							23			10.00			1/day																																																																																																												
Begas2007	479	men smokers	homo sapiens	44	Y	44	21		63.00	31.30		19.00			yr		M	21											Y	11	methylxanthine	44	30.00	h		N	44					N	44																							11			10.00			1/day																																																																																																												
Begas2007	480	men nonsmokers	homo sapiens	44	Y	44	21		63.00	31.30		19.00			yr		M	21											N	10	methylxanthine	44	30.00	h		N	44					N	44																																																																																																																																									
Begas2007	481	women	homo sapiens	44	Y	44	23		52.00	32.50		19.00			yr		F	23													methylxanthine	44	30.00	h		N	44					N	44																																																																																																																																									
Begas2007	482	women smokers	homo sapiens	44	Y	44	23		52.00	32.50		19.00			yr		F	23											Y	12	methylxanthine	44	30.00	h		N	44					N	44																							12			10.00			1/day																																																																																																												
Begas2007	483	women nonsmokers	homo sapiens	44	Y	44	23		52.00	32.50		19.00			yr		F	23											N	11	methylxanthine	44	30.00	h		N	44					N	44																																																																																																																																									
Benowitz1995	484	all	homo sapiens	12	Y	12	12		59.00	32.00		19.00			yr		('M', 'F')	(6, 6)											N	12	('caffeine', 'alcohol')	(12, 12)		('day', None)	('3.00', None)	N	12					N	12																																															12	0.64	1168.00	506.00	68.00	324.00	93.53	mg/day																											Y	12																																																							
Benowitz1995	485	2mg	homo sapiens	12	Y	12	12		59.00	32.00		19.00			yr		('M', 'F')	(6, 6)											N	12	('caffeine', 'alcohol')	(12, 12)		('day', None)	('3.00', None)	N	12					N	12																																															12	0.64	1168.00	506.00	68.00	324.00	93.53	mg/day																											Y	12																																																							
Benowitz1995	486	4mg	homo sapiens	12	Y	12	12		59.00	32.00		19.00			yr		('M', 'F')	(6, 6)											N	12	('caffeine', 'alcohol')	(12, 12)		('day', None)	('3.00', None)	N	12					N	12																																															12	0.64	1168.00	506.00	68.00	324.00	93.53	mg/day																											Y	12																																																							
Benowitz2003	631	all	homo sapiens	12	Y	12	12		47.00			27.00			yr		M	12											Y	12								Y	12																											12		28.00				1/day																																																																																										12	22.00		yr															
Blanchard1983a	488	all	homo sapiens	10	Y	10	10		30.00	21.80		18.80		1.10	yr		M	10	10		106.00	79.50		64.00		3.90	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10	Y	10					caucasian	10																																																																																																																																							
Bonati1982	489	all	homo sapiens	4	Y	4	4		36.00			26.00			yr		M	4	4			70.00					kg											Y	4																																																																																																																																													
Butler1991	576	all	homo sapiens	25																																N	25	Y	25																																																																																																																																													
Butler1991	577	control	homo sapiens	25	Y	9	9			48.00				3.00	yr		('F', 'M')	(4, 5)	9			92.00				3.00	kg									N	25	Y	25							9			32.00				1.00	kg/m^2																																																																																																																														
Butler1991	578	IGT	homo sapiens	25	N	6	6			45.00				3.00	yr		('M', 'F')	(3, 3)	6			90.00				3.00	kg									N	25	Y	25							6			31.00				2.00	kg/m^2	impaired glucose tolerance	6																																																																																																																												
Butler1991	579	T2DM	homo sapiens	25	N	10	10			50.00				3.00	yr		('M', 'F')	(3, 7)	10			88.00				6.00	kg									N	25	Y	25							10			32.00				2.00	kg/m^2	diabetes melitus type 2	10																																																																																																																												
Calbet2002	580	all	homo sapiens	6	Y	6	6			22.70				0.90	yr				6			73.20				3.20	kg											Y	6																																											6	0.06		1.77			0.04	m																																																																																											
Campbell1987a	632	all	homo sapiens	15	Y	15											('M', 'F')	(2, 13)																										caucasian	15																																																																																																																																							
Campbell1987a	633	oc	homo sapiens	15	Y	15	5	0.15	30.00	26.40		21.00	4.03	1.80	yr		F	5	5	0.08	64.00	57.80		57.00	4.53	2.03	kg		N	5												Y	5	caucasian	15																																																																																																																																							
Campbell1987a	634	nonsmoker	homo sapiens	15	Y	15	5	0.04	26.00	25.00		24.00	0.89	0.40	yr		('M', 'F')	(1, 4)	5	0.10	75.00	64.00		54.00	6.66	2.98	kg		N	5												N	5	caucasian	15																																																																																																																																							
Campbell1987a	635	smoker	homo sapiens	15	Y	15	5	0.26	42.00	30.40		21.00	7.96	3.56	yr		('M', 'F')	(2, 13)	5	0.02	59.00	57.60		56.00	1.20	0.54	kg		Y	5												N	5	caucasian	15																																																																																																																																							
Carbo1989	494	all	homo sapiens	6	Y	6											M	6											Y	6	('caffeine', 'methylxanthine', 'alcohol')	(6, 6, 6)		('h', 'h', 'h')	('48.00', '48.00', '48.00')	N	6																				6			h	10.00					6	40.00		10.00			1/day																																																																																																												
Carrillo2000a	495	all	homo sapiens	23	Y	23																									methylxanthine	23		h	36.00	N	23																																																																																																																																															
Carrillo2000a	496	males	homo sapiens	23	Y	23	12		68.00			28.00	12.30	3.55	yr	44.10	M	12	12		95.00			74.00	7.50	2.17	kg	83.70			methylxanthine	23		h	36.00	N	23																																																																																																																																															
Carrillo2000a	497	females	homo sapiens	23	Y	23	11		59.00			26.00	10.30	3.11	yr	42.70	F	11	11		76.00			45.00	8.70	2.62	kg	64.50			methylxanthine	23		h	36.00	N	23																																																																																																																																															
Carrillo2000a	498	males nonsmokers	homo sapiens	23	Y	23	12		68.00			28.00	12.30	3.55	yr	44.10	M	12	12		95.00			74.00	7.50	2.17	kg	83.70	N	8	methylxanthine	23		h	36.00	N	23																																																																																																																																															
Carrillo2000a	499	males smokers	homo sapiens	23	Y	23	12		68.00			28.00	12.30	3.55	yr	44.10	M	12	12		95.00			74.00	7.50	2.17	kg	83.70	Y	4	methylxanthine	23		h	36.00	N	23																													4				5.00	2.50	1/day	12.00																																																																																																											
Carrillo2000a	500	females nonsmokers	homo sapiens	23	Y	23	11		59.00			26.00	10.30	3.11	yr	42.70	F	11	11		76.00			45.00	8.70	2.62	kg	64.50	N	6	methylxanthine	23		h	36.00	N	23					('Y', 'N')	(3, 3)																																																																																																																																									
Carrillo2000a	501	females smokers	homo sapiens	23	Y	23	11		59.00			26.00	10.30	3.11	yr	42.70	F	11	11		76.00			45.00	8.70	2.62	kg	64.50	Y	5	methylxanthine	23		h	36.00	N	23					N	5																							5				4.00	1.79	1/day	12.00																																																																																																											
Chen1991	555	all	homo sapiens	8	Y	8	8	0.19	37.00	27.30		25.00	5.20	1.84	yr		('F', 'M')	(1, 7)	8	0.17	83.00	69.90		48.00	11.90	4.21	kg/m^2		Y	4	drug	8		day	2.00			Y	8																							Y	8	day	2.00																																																																																																																			
Chen1991	556	PM	homo sapiens	8	Y	8	8	0.19	37.00	27.30		25.00	5.20	1.84	yr		('F', 'M')	(1, 7)	8	0.17	83.00	69.90		48.00	11.90	4.21	kg/m^2		Y	4	drug	8		day	2.00			Y	8																							Y	8	day	2.00																																								PM	2																																																														2		0.38		-								
Chen1991	557	EM	homo sapiens	8	Y	8	8	0.19	37.00	27.30		25.00	5.20	1.84	yr		('F', 'M')	(1, 7)	8	0.17	83.00	69.90		48.00	11.90	4.21	kg/m^2		Y	4	drug	8		day	2.00			Y	8																							Y	8	day	2.00																																								EM	6																																																														6	3460.00		160.00	-								
Cheng1990	502	all	homo sapiens	26																																																																																																																																																																																
Cheng1990	503	control	homo sapiens	26	Y	13	13		50.00			20.00			yr		('F', 'M')	(4, 9)	13		85.00			47.00			kg		('Y', 'N')	(1, 12)																																																																																																																																																						
Cheng1990	504	cirrhosis	homo sapiens	26	N	13	13	0.10	75.00	62.20		53.00	6.37	1.77	yr		('F', 'M')	(3, 10)	13	0.17	107.00	74.77		50.00	12.55	3.48	kg		('Y', 'N')	(4, 9)																									cirrhosis	13																																																																																																																												
Culm-Merdek2005	505	all	homo sapiens	7	Y	7	7			50.00					yr		('F', 'M')	(1, 6)	7			82.00					kg		N	7	caffeine	7											7																																																																																																																																									
Degn2004	581	all	homo sapiens	12	Y	12	12	0.09	32.00	27.50		24.00	2.40	0.69	yr		M	12																		N	12	Y	12					caucasian	12	12	0.09	29.00	23.30		21.20	2.10	0.61	kg/m^2			12			h	10.00																																																																																																																							
Desmond1980	506	all	homo sapiens	33													M	33																								N	33																																																																																																																																									
Desmond1980	507	S1	homo sapiens	33	Y	15	15		71.00			18.00			yr		M	33											('Y', 'N')	(2, 3)												N	33																																																																																																																																									
Desmond1980	508	S2	homo sapiens	33	N	10	10		65.00			42.00			yr		M	33											('Y', 'N')	(4, 6)												N	33												cirrhosis	10																																																																																																																												
Desmond1980	509	S3	homo sapiens	33	N	8	8	0.12	60.00	49.60		42.00	6.00	2.12	yr		M	33	8	0.16	84.00	71.50		48.00	11.10	3.92	kg		Mixed	8												N	33												cirrhosis	8																																																																																																																												
Felig1969	582	all	homo sapiens	20	Y	20																																Y	20																		20	14.00	10.00	h																																																																																																																								
Felig1969	583	nonobese	homo sapiens	20	Y	20	10		45.00	31.00		17.00			yr		('M', 'F')	(5, 5)	10		112.00	78.50		67.00			kg											Y	20																		20	14.00	10.00	h																																																																		10	114.00	104.00	92.00		%																																																	
Felig1969	584	obese	homo sapiens	20	Y	20	10		52.00	32.00		16.00			yr		('M', 'F')	(5, 5)	10		237.50	141.00		97.00			kg											Y	20																		20	14.00	10.00	h																																																																		10	250.00	180.00	145.00		%																																																	
Ferrannini1979	585	all	homo sapiens	17	Y	17	17		57.00	25.00		16.00		3.00	yr		('M', 'F')	(3, 14)	17		78.00	58.00		41.00		3.00	kg									N	17	Y	17																																											17	0.05	1.74	1.62	1.47		0.02	m																																																	17	1.90	1.60	1.30	0.04	m^2																																					
Ferrannini1988	586	all	homo sapiens	22																																N	22	Y	22																		22			h	12.00																																																																																																																							
Ferrannini1988	587	control	homo sapiens	22	Y	10	10			66.00				3.00	yr		('F', 'M')	(3, 7)	10			68.00				4.00	kg									N	22	Y	22																		22			h	12.00													10			93.00			2.00	mg/dl																																10		12.00		1.00	mg/dl								10		100.00		4.00	%																																																	
Ferrannini1988	588	t2dm	homo sapiens	22	N	12	12			59.00				2.00	yr		('F', 'M')	(4, 8)	12			71.00				3.00	kg									N	22	Y	22																diabetes melitus type 2	12	22			h	12.00													12			189.00			19.00	mg/dl																																12		23.00		4.00	µU/ml								12		104.00		4.00	%																																																	
Fery1993	589	all	homo sapiens	30																																		Y	30																		30			h	14.00																																																																																																																							
Fery1993	590	control	homo sapiens	30	Y	11	11			47.00				4.00	yr		('M', 'F')	(5, 6)	11			82.90				4.40	kg											Y	30							11			29.80				1.30	kg/m^2			30			h	14.00																					11	0.04		1.67			0.02	m																																																	11		1.91		0.05	m^2																																					
Fery1993	591	t2dm	homo sapiens	30																																		Y	30																		30			h	14.00																																																																																																																							
Fery1993	592	mild_t2dm	homo sapiens	30	N	7	7			41.00				5.00	yr		('F', 'M')	(2, 5)	7			85.60				8.10	kg											Y	30							7			30.40				2.50	kg/m^2	diabetes melitus type 2	7	30			h	14.00																					7	0.03		1.67			0.02	m									7		5.90		0.50	%				7		4.00		1.00	yr																										7		1.94		0.09	m^2																																					
Fery1993	593	severe_t2dm	homo sapiens	30	N	12	12			53.00				2.00	yr		('F', 'M')	(3, 9)	12			79.70				3.30	kg											Y	30							12			27.60				1.10	kg/m^2	diabetes melitus type 2	12	30			h	14.00																					12	0.06		1.70			0.03	m									12		7.80		0.30	%				12		7.00		2.00	yr																										12		1.91		0.05	m^2																																					
Firth1986	594	all	homo sapiens	20																																N	20	Y	20																		20			h	12.00																																																																																																																							
Firth1986	595	control	homo sapiens	20	Y	7	7			51.00				4.00	yr		('M', 'F')	(1, 6)	7			89.00				8.00	kg									N	20	Y	20							7			32.10				2.00	kg/m^2			20			h	12.00													7			98.00			2.00	mg/dl																	7		4.80		0.20	%																																																																													
Firth1986	596	t2dm	homo sapiens	20	N	13	13			56.00				3.00	yr		('M', 'F')	(4, 9)	13			84.00				4.00	kg									N	20	Y	20							13			31.30				1.70	kg/m^2	diabetes melitus type 2	13	20			h	12.00													13			187.00			11.00	mg/dl																	13		9.80		0.60	%																																																																													
Fuhr1993a	510	all	homo sapiens	12	Y	12	12	0.38	56.00	33.70		21.00	12.70	3.67	yr		('M', 'F')	(4, 8)	12	0.22	98.00	68.00		39.00	15.20	4.39	kg		('N', 'Y')	(6, 6)	methylxanthine	12		h	12.00							('Y', 'N')	(3, 5)																																							12	0.05	1.90	1.71	1.58	0.09	0.03	m																																																																																											
Fuhr1993a	511	smokers	homo sapiens	12	Y	12	6	0.41	56.00	34.50		21.00	14.06	5.74	yr		('M', 'F')	(2, 4)	6	0.22	80.00	67.50		39.00	14.60	5.96	kg		Y	6	methylxanthine	12		h	12.00							('Y', 'N')	(2, 2)																																							6	0.04	1.75	1.68	1.58	0.07	0.03	m																																																																																											
Fuhr1993a	512	nonsmokers	homo sapiens	12	Y	12	6	0.34	56.00	32.83		22.00	11.13	4.54	yr		('M', 'F')	(2, 4)	6	0.23	98.00	68.50		55.00	15.70	6.41	kg		N	6	methylxanthine	12		h	12.00							('Y', 'N')	(1, 3)																																							6	0.06	1.90	1.73	1.62	0.11	0.04	m																																																																																											
Ghassabian2009	513	all	homo sapiens	11	Y	11	11	0.35	66.00	41.09		22.00	14.56	4.39	yr		('F', 'M')	(2, 9)													caffeine	11		h	48.00																				schizophrenia	11																																																																																																																					clozapine	11						
Granfors2005	514	all	homo sapiens	30	Y	30											F	30											N	30															30																																																																																																																																							
Granfors2005	515	control	homo sapiens	30	Y	30	15	0.09	26.00	22.00		19.00	2.00	0.52	yr		F	30	15	0.16	74.00	62.00		52.00	10.00	2.58	kg		N	30												N	15		30																																																																																																																																							
Granfors2005	516	oc	homo sapiens	30	Y	30	15	0.09	25.00	22.00		18.00	2.00	0.52	yr		F	30	15	0.11	63.00	57.00		48.00	6.00	1.55	kg		N	30												Y	15		30																																																																																																																																							
Haller2002	517	all	homo sapiens	8	Y	8	8		38.00			25.00			yr		('M', 'F')	(3, 5)	8	0.18	88.90	68.49		52.00	12.24	4.33	kg		N	8												('Y', 'N')	(2, 6)			8		30.00						kg/m^2																																																																																																																												8	4.00	1/day
Harder1988	518	S1	homo sapiens	12	Y	12	12		40.00			20.00			yr		M	12																									12		12																																																																																																																																							
Harder1989	519	S1	homo sapiens	12	Y	12	12		40.00			20.00			yr		M	12																									12		12																																																																																																																																							
He2008	558	all	homo sapiens	23	Y	23	23		65.00			18.00			yr																													caucasian	23	23		30.00			20.00			yr																																																																																																																														
He2008	559	UM	homo sapiens	23	Y	23	23		65.00			18.00			yr																													caucasian	23	23		30.00			20.00			yr																																																			UM	11																																																																										
He2008	560	EM	homo sapiens	23	Y	23	23		65.00			18.00			yr																													caucasian	23	23		30.00			20.00			yr																																																			EM	12																																																																										
Healy1989	636	all	homo sapiens	10	Y	10	10	0.06		26.70			1.60	0.51	yr		M	10	10	0.11		76.30			8.60	2.72	kg		N	10													10		10																																																																																																																																							
Healy1991	521	all	homo sapiens	16	Y	16	16	0.11		27.10			3.10	0.78	yr		M	16	16	0.09		76.70			6.80	1.70	kg		N	16	methylxanthine	16				N	16	Y	16						16																																																																																																																									N	16													
Henkel2005	597	all	homo sapiens	64													M	64											N	64																																																																																																																																																						
Henkel2005	598	control	homo sapiens	64	Y	27											M	64											N	64																																																																																																																																																						
Henkel2005	599	igt	homo sapiens	64	N	15											M	64											N	64																									impaired glucose tolerance	15																																																																																																																												
Henkel2005	600	t2dm	homo sapiens	64	N	24											M	64											N	64																									diabetes melitus type 2	24																																																																																																																												
Hetzler1990	522	all	homo sapiens	10	Y	10	10	0.22		27.90			6.20	1.96	yr		M	10	10	0.18		85.10			15.40	4.87	kg				caffeine	10		h	48.00			Y	10	h	12.00																																									10	0.03		1.79		0.04	0.01	m																																																													10	0.47	20.40	9.50	3.00	%	10	0.12	66.70	8.00	2.53	kg																			
Israelian2006	601	all	homo sapiens	37																																N	37																																																																																																																																															
Israelian2006	602	t2dm	homo sapiens	37	N	14	14			48.00				1.30	yr		('F', 'M')	(4, 10)	14			91.70				4.50	kg									N	37									14			31.40				1.40	kg	diabetes melitus type 2	14																																										14				0.40	%	7.40			14		5.30		1.30	yr																																																																				
Israelian2006	603	control	homo sapiens	37	Y	23	23			45.50				1.50	yr		('F', 'M')	(9, 14)	23			90.00				2.80	kg									N	37									23			31.40				1.20	kg																																																																																																																														
Jeppesen1996	523	all	homo sapiens	8	Y	8											M	8											N	8	alcohol	8				N	8																																																																																																																																															
Joeres1988	524	all	homo sapiens	71																																																																																																																																																																																
Joeres1988	525	healthy smokers	homo sapiens	71	Y	7	7		45.00			25.00			yr		M	7											Y	7						N	7																													7	25.00		10.00			1/day																																																																																																												
Joeres1988	526	healthy smokers 2	homo sapiens	71	Y	8																							Y	8																																																																																																																																																						
Joeres1988	527	healthy nonsmokers	homo sapiens	71	Y	15																							N	15																																																																																																																																																						
